"Menüeintrag ggf. kaskadierend getrennt durch |";"Aufruf-URL";"Beschreibungstext"
"Terminplaner | Grundlagen";"https://youtu.be/mQlhHX9phjQ";"Wie lege ich Sprechzeiten in meinem Terminplaner an? In diesem Clip lernen Sie die Grundlagen in Sachen Konfiguration der Sprechzeiten. Erläuterung von Termindauer und Terminraster und zu beachtende Einzelheiten wie z.B. Gültigkeiten."
"Terminplaner | Terminlisten und Sperren";"https://youtu.be/G_r04QV8XdQ";"In diesem Video wird erläutert, wie man Terminlisten erstellt und bearbeitet. Außerdem demonstrieren wir, was bei Spezialfällen wie Hausbesuchen oder Laborlisten zu beachten ist. Terminlisten und Sprechzeiten von A-Z."
"Terminplaner | Terminvergabe";"https://youtu.be/w704JeqE23w";"Es gibt viele verschiedene Optionen, den Terminplaner zu bedienen. Sei es mit der Toolbar, der Maus oder der Tastatur. Diese verschiedenen Möglichkeiten lernen Sie in diesem Video kennen, zusätzlich aber auch die Funktionen und die Ansicht des Terminplaners. Wie man Termine vergibt, wird hier ebenfalls detailliert erklärt."
"Terminplaner | Terminlistenfilter";"https://youtu.be/1nBUSH2U0Yc";"Um die Darstellung des Terminplaners nach Ihrem Belieben anzeigen zu lassen, haben Sie die Möglichkeit, die aktuelle Anzeige unter sogenannten „Filtern“ zu speichern. Das Anlegen und Handhaben solcher Filter lernen Sie in diesem Video. Auch Spezialfälle, wie man mehrere Listen gleichzeitig darstellen lassen und unter Filtern speichern kann, werden hier erläutert."
"Terminplaner | Sprechzeitenkategorien";"https://youtu.be/EvA49gedK60";"In diesem Video zeigen wir die Vorteile von Sprechzeitkategorien auf. Außerdem wie man diese anlegt und nutzt. Die Sprechzeitkategorien sind auch für den Online-Terminplaner essentiell."
"Abrechnung | PVS-Abrechnung";"http://y2u.be/UtI42WtJo9g";"Hier zeigen wir Ihnen, wie sie eine Privatabrechnung in MediSoftware durchführen und diese anschließend verbuchen. Dieses Video trifft auf jede PVS-Abrechnung zu, ob mit PAD-Online-Zugang oder ohne. Bei letzterem müssen Sie, wie im Video gesagt, ihre Abrechnungsdatei selber hochladen. Bei fragen diesbezüglich, wenden Sie sich bitte an Ihre PVS."
"Abrechnung | KV Hamburg | Regelprüfung und Abrechnung OHNE KV-Connect";"http://y2u.be/ScPGZXcgeJs";"In diesem Video lernen Sie, wie Sie Ihre Regelprüfung und Abrechnung in MediSoftware durchführen. Dieses Video ist zugeschnitten auf Praxen mit Standort in Hamburg OHNE KV-Connect."
"Abrechnung | KV Hamburg | Regelprüfung und Abrechnung MIT KV-Connect";"http://y2u.be/1ecUqRX4Jis";"In diesem Video lernen Sie, wie Sie Ihre Regelprüfung und Abrechnung in MediSoftware durchführen. Dieses Video ist zugeschnitten auf Praxen mit Standort in Hamburg MIT KV-Connect-Zugang."
"Notfalldatenmanagement";"http://y2u.be/R6GhnzIyigk";"In diesem Video bringen wir Ihnen die Möglichkeiten des Notfalldatenmanagements näher. Hier lernen Sie, wie Sie die Notfalldaten eines Patienten einlesen, schreiben oder neu erstellen können."
"eAU";"http://y2u.be/SnvTBqOATyY";"In diesem Video lernen Sie, wie Sie elektronische Arbeitsunfähigkeitsbescheinigungen (eAU) ausstellen können. Außerdem werden Ihnen alle nötigen Schritte zur Einrichtung gezeigt."
"KIM und Co";"http://y2u.be/eIacpLKEF-E";"In diesem Video zeigen wir Ihnen die E-Mailfunktionalität des Praxisprogrammes mit Schwerpunkt KIM."
"Kodierunterstützung";"http://y2u.be/wYQZk10lMWI";"In diesem Video lernen Sie die Möglichkeiten der Kodierunterstützung kennen, aber auch näheres zur Konfiguration."
"eRP";"http://y2u.be/Tg1igEk85Ls";"In diesem Video lernen Sie die Handhabung des eRezepts im medisoftware Praxis-Programm."